,Username,Posts per Day,Posts per Week,Posts per Month,Total Posts,Engagement Rate,Total Followers,Average User Activity,Influncer_bio
27,@hanadymehanna,0.05,0.36,1.53,489,1.19,6000000,79.38,Bio French 🇫🇷 - Egyptian 🇪🇬Instagram Handle  @hanadymehannaInstagram Followers  5.9M Get Email Contact
28,@karimfahmiofficial,0.13,0.88,3.79,1200,0.61,5900000,40.96,Bio ScriptwriterInstagram Handle  @karimfahmiofficialInstagram Followers  5.8M Get Email Contact
29,@lailaazaherr11,0.09,0.62,2.67,559,3.45,5500000,115.07,Bio Egyptian Actress | ممثلة مصرية Blissful♡Instagram Handle  @lailaazaherr11Instagram Followers  5.2M Get Email Contact
30,@mayanelsayed,0.12,0.83,3.56,859,2.35,5400000,100.0,Bio Management @madrisingcelebrityInstagram Handle  @mayanelsayedInstagram Followers  5.2M Get Email Contact
31,@maiselim,0.39,2.71,11.61,1800,0.05,5300000,3.64,Bio Singer and ActressInstagram Handle  @maiselimInstagram Followers  5.3M Get Email Contact
32,@big_ramy,0.19,1.33,5.71,2300,0.67,5300000,44.7,Bio Athlete @kosquadegypt  team @redrexbrand @smilodox @schieksportsinc @protan_official @panattaofficial @lowcaloriesae email: ****@gmail.comInstagram Handle  @big_ramyInstagram Followers  4.9M Get Email Contact
33,@aml.samirr,0.02,0.17,0.75,775,2.2,4900000,100.0,Bio A Woman With A Big Dream💫▪️ACTRESS l YOUTUBER l INFLUENCER🎬💎 @haleem_official 💙🕊💎 Mini Me @ella_haleem  👩🏻‍🍼✨▪️ Business Inquiries : DM&Gmail📩Instagram Handle  @aml.samirrInstagram Followers  4.5M Get Email Contact
34,@zenap_mohamed,0.02,0.13,0.58,75,0.99,4800000,66.1,Bio - Youtuber +9M Subscribers - My Husband : @ahmedhas0san - My Kids : @aileenhas0san @ianhas0san - For Ads : ****@gmail.comInstagram Handle  @zenap_mohamedInstagram Followers  5M Get Email Contact
35,@menna_el_sonny,0.4,2.8,12.0,3100,2.36,4700000,100.0,Bio Egyptian 🇪🇬 Influencer - Traveler Founder @mennaelsonnystore For business inquiries 📩: ****@hotmail.comInstagram Handle  @menna_el_sonnyInstagram Followers  4M Get Email Contact
36,@sabamubarak,0.31,2.15,9.23,1200,0.15,4600000,10.02,"Bio Actress, ProducerTwitter @sabamubarak @UNHCR_Arabic                                                  https://www.youtube.com/watchv=uPqkM6HzMSM&t=2sInstagram Handle  @sabamubarakInstagram Followers  4.6M Get Email Contact"
37,@mohamed.farag,0.41,2.9,12.41,407,4.52,4100000,150.51,"Bio الحمدلله  Founder @viral.advertising Blogger, Traveler, Entrepreneur, Athlete.Instagram Handle  @mohamed.faragInstagram Followers  4M Get Email Contact"
38,@hagerahmed_official,0.01,0.09,0.39,552,2.88,4100000,100.0,Bio “I can never give up I always give my all”mum & wife “Egyptian actress”Instagram Handle  @hagerahmed_officialInstagram Followers  4M Get Email Contact
39,@maiibraahim,0.03,0.2,0.87,1200,3.32,3900000,110.57,Bio 📍🇦🇪Founder of |  @bohozbymi Managed by | @socialit_eg Host @nrjegypt @abudhabitv 📻 📧 ****@gmail.comInstagram Handle  @maiibraahimInstagram Followers  3.7M Get Email Contact
40,@nadia.elkholy,0.03,0.19,0.8,2600,5.49,3800000,182.86,Bio • 𝙻𝙸𝙵𝙴 𝚂𝚃𝚈𝙻𝙴 𝙱𝙻𝙾𝙶𝙶𝙴𝚁 • 𝚃𝚁𝙰𝚅𝙴𝙻’ 🌍• 𝙾𝚆𝙽𝙴𝚁 @f.n_atelier 👗 Mrs @reda_mahmoud90 🌍👫💌𝙵𝙾𝚁 𝙱𝚄𝚂𝙸𝙽𝙴𝚂𝚂 𝙸𝙽𝚀𝚄𝙸𝚁𝙸𝙴𝚂 𝙳𝙼 𝙼𝙴 📩•الحب كله دُفن مع ( أبي )🤍🕊Instagram Handle  @nadia.elkholyInstagram Followers  3.4M Get Email Contact
41,@shereenredaofficial,0.32,2.21,9.47,546,0.18,3500000,11.8,Bio Facebook: ShereenRedaOfficialTwitter: SheereenReda🐕🐈🐓🦢🦆🐥🦜🦉🐇🐎🦓🐄🐏 🐗🐴🐝🦋🐌🐞🐜🐢🐙🦑🦀🐠🐋🦈🐊🐅🐆🦍🐘🦛🦏🐪🐫🦒🦘🐃🐂🐖🐁🐿🦔Instagram Handle  @shereenredaofficialInstagram Followers  3.5M Get Email Contact
42,@ayselkhaledofficial,0.31,2.15,9.23,1300,1.5,3400000,100.0,Bio 🎀founder: @Ayselhood 🤱 💎Miss Egypt2016/17👑🎀 kids @taliaahmedassi🦄@youssefahmedassi🐬💎Wife& Mummy👨‍👩‍👧‍👦🎀beauty pageants jury🔮💎Fashion & lifestyle💫Instagram Handle  @ayselkhaledofficialInstagram Followers  3.4M Get Email Contact
43,@dareen_haddad,0.03,0.23,0.98,551,0.15,3400000,10.17,Bio 🇹🇳🇪🇬🇦🇪Instagram Handle  @dareen_haddadInstagram Followers  3.4M Get Email Contact
44,@rehamayman,0.14,0.95,4.09,1400,0.39,3400000,26.0,Bio Egyptian ActressInstagram Handle  @rehamaymanInstagram Followers  3.4M Get Email Contact
45,@nairaakamal,0.09,0.61,2.61,297,4.25,3400000,141.79,Bio • my official account of Instagram• Egyptian actress and bloggerInstagram Handle  @nairaakamalInstagram Followers  3.3M Get Email Contact
46,@salma_abdelazeem66,0.23,1.58,6.79,700,3.25,3300000,108.31,Bio •physiotherapist•Fashion Blogger •Influencer•for business inquiries▶️ ****@gmail.comInstagram Handle  @salma_abdelazeem66Instagram Followers  2.9M Get Email Contact
47,@hudaelmufti,0.1,0.71,3.05,466,1.47,3200000,97.9,Bio MGMT @mad_solutionsInstagram Handle  @hudaelmuftiInstagram Followers  3.2M Get Email Contact
48,@mariamseiif,0.02,0.13,0.55,852,5.07,3200000,169.14,Bio 🐎 king 🐎 Cars Lover 🚘 Founder of @ridesbymariam 𝘽𝙖𝙗𝙮 𝙂𝙞𝙧𝙡🧜‍♀️ @itsyour_romy certified therapy by : @macrogroupeg 𝙏𝙧𝙖𝙫𝙚𝙡𝙚𝙧.. 𝙇𝙞𝙛𝙚 𝙎𝙩𝙮𝙡𝙚 𝙗𝙡𝙤𝙜𝙜𝙚𝙧🌸Instagram Handle  @mariamseiifInstagram Followers  3M Get Email Contact
49,@carolinekamalazmy,0.07,0.47,2.02,156,3.87,3200000,129.05,Bio Management @wefirenationInstagram Handle  @carolinekamalazmyInstagram Followers  3.1M Get Email Contact
50,@arwakassem129,0.04,0.28,1.22,577,3.72,2900000,124.01,Bio Official Instagram Account Of The Actress Arwa KassemFor Business inquiries : @arwa_kassem12 Certified By : @jakoblambazInstagram Handle  @arwakassem129Instagram Followers  2.7M Get Email Contact
51,@3enaabb,0.05,0.32,1.38,38,4.2,2800000,140.09,Bio 🍇Instagram Handle  @3enaabbInstagram Followers  2.6M Get Email Contact
52,@shehab.eldin14,0.07,0.46,1.97,75,1.17,2700000,77.76,Bio eltmsa7🐊🐊Fashion model✌️Instagram Handle  @shehab.eldin14Instagram Followers  2.7M Get Email Contact
53,@sally_fou2ad,0.04,0.27,1.16,5600,0.1,2400000,6.34,Bio dream..wish..createCertified Nutritionist from GermanyAuthor of 4 booksInstagram Handle  @sally_fou2adInstagram Followers  2.4M Get Email Contact
54,@asma.abulyazeid,0.12,0.84,3.6,740,4.12,2300000,137.43,Bio Egyptian ActressInstagram Handle  @asma.abulyazeidInstagram Followers  2.1M Get Email Contact
55,@asmaa.adel.790,0.03,0.23,0.99,4200,0.59,1100000,39.13,Bio For reservations للحجز 01126863618Instagram Handle  @asmaa.adel.790Instagram Followers  1.1M Get Email Contact
56,@saharfoad,0.32,2.27,9.73,3100,0.32,931400,21.17,Bio I aim for the stars🌟I walk through fire🔥like a phoenix I rise ☄️Engineer 👩‍💻 📧 | ****@me.com#SaharFoad@laila.abohashima 👸🏼 @jamila.abohashimaInstagram Handle  @saharfoadInstagram Followers  926.5K Get Email Contact
57,@nourhanneeisa,0.02,0.13,0.55,954,0.86,806800,57.59,Bio 🇪🇬🇱🇧CAI/DXBChasing sunsets 🕊Mother of @nesscommunications & @iamanotso #NourhanneVisits 🌍Instagram Handle  @nourhanneeisaInstagram Followers  811.8K Get Email Contact
58,@rehamkhalifaa,0.34,2.4,10.29,408,0.63,513800,42.07,Bio •Egypt📍Dubai 📍•For Business inquiries ****@gmail.com•For Makeup appointments +201141003316Instagram Handle  @rehamkhalifaaInstagram Followers  480.1K Get Email Contact
59,@abdelrhman_mohey,0.8,5.6,24.0,304,1.55,485700,100.0,Bio 📱TikTok:1.5 Mln+Founder @bosla.eg Managed by @cya_agency 📍Travel…Instagram Handle  @abdelrhman_moheyInstagram Followers  422K Get Email Contact
60,@nadaa__ali,0.1,0.7,3.0,434,0.44,483300,29.41,Bio 🦋 나다 알리🇪🇬 Egyptian blogger 👸Queen of formal  pants 👱🏻‍♀️•Veterinarian🐶👗•Fashion / travel / lifestyle 📩• Business DMInstagram Handle  @nadaa__aliInstagram Followers  482.7K Get Email Contact
61,@ahmedelkhawaga1,0.06,0.4,1.73,697,1.2,472800,79.93,Bio Owner of @elkhawagastudio  For reservations: 0106 970000901016966661Instagram Handle  @ahmedelkhawaga1Instagram Followers  429.9K Get Email Contact
62,@arabianpharaoh,0.01,0.08,0.33,490,1.93,448200,100.0,Bio •CALISTHENICS FOUNDER IN EGYPT🇪🇬• ATHLETE @kosquadegypt• Coach @la7gym •3×NATIONAL CHAMPION OF EGYPT🏆•ESWCF Board Memberلا ابرح حتى أبلغInstagram Handle  @arabianpharaohInstagram Followers  445K Get Email Contact
63,@ghofranmuhammad,0.04,0.29,1.25,236,2.06,435200,100.0,Bio Actress  -  singerInstagram Handle  @ghofranmuhammadInstagram Followers  419.9K Get Email Contact
64,@nina_maghrabi,0.04,0.28,1.2,507,2.68,434800,100.0,Bio 📚 EMBA Imperial College London                                           🎭 Actress - Founder @mousemelonmiddleeastInstagram Handle  @nina_maghrabiInstagram Followers  449K Get Email Contact
65,@helallii,0.02,0.13,0.57,502,1.07,430500,71.27,Bio -🚩Mens Fashion & Life style👕-🚩Banker -🚩Dm for business inquiries 🔥-🚩Tiktok Page +250k👇🏼Instagram Handle  @helalliiInstagram Followers  396.9K Get Email Contact
66,@dinaa_mourad,0.01,0.09,0.39,584,4.01,430100,133.64,Bio 𝖡𝗂𝗌𝗆𝗂𝗅𝗅𝖺𝗁 🌿🌿🌿𝗠𝗼𝗱𝗲𝘀𝘁𝘆 𝗶𝘀 𝗮 𝗯𝗿𝗮𝗻𝗰𝗵 𝗼𝗳 𝗳𝗮𝗶𝘁𝗵.🧕🏻Founder @minimabydina Email for business inquiries. 📩Cairo - Egypt 📍Instagram Handle  @dinaa_mouradInstagram Followers  431.3K Get Email Contact
67,@dreenhelmmii,0.05,0.32,1.35,35,0.24,421000,15.85,Bio Miss tourism & culture universe egypt international 2018Missosology’s Peoples Choice Award 2019 👑always believe in yourself ☾Instagram Handle  @dreenhelmmiiInstagram Followers  423.6K Get Email Contact
68,@farahmagdykhalifa,0.03,0.18,0.78,368,58.75,385800,1958.36,Bio ‎فرح مجدي خليفةWelcome to my🌍Owner & founder of @plums.egInstagram Handle  @farahmagdykhalifaInstagram Followers  327K Get Email Contact
69,@hagarmohamedmokhtar,0.03,0.24,1.04,182,1.07,385400,71.31,Bio •UN Goodwill Ambassadors• Miss Egypt 2022 🇪🇬 👑• Miss Elegant 2022👸•Owner of @easy_furnituree & @tostadomexicangrill •Tv presenter @hyatvegInstagram Handle  @hagarmohamedmokhtarInstagram Followers  383.7K Get Email Contact
70,@qaty_photography,0.8,5.6,24.0,469,2.2,372500,100.0,Bio My 👰🏻‍♀️ 🤍 @mera__ph .01003209839All rights reserved © 2021📍Mansoura 📍Damietta 📍 Cairo@joy.location  @evadamdressesegypt.Instagram Handle  @qaty_photographyInstagram Followers  299K Get Email Contact
71,@fl.ex.20,0.04,0.26,1.11,44,11.82,354600,393.99,Bio @mtownmafiaMSH BASTANA ft. HUSAYN & WINGII OUT NOWInstagram Handle  @fl.ex.20Instagram Followers  331.7K Get Email Contact
72,@marianghobreialmakeup,0.03,0.21,0.89,1300,3.53,353500,117.76,Bio Dentist 🦷 Makeup artist 💄Beauty vlogger 📹Egypt📍🇪🇬Instagram Handle  @marianghobreialmakeupInstagram Followers  286.5K Get Email Contact
73,@satisfashionbysn,0.52,3.65,15.65,4300,0.57,347400,38.17,Bio CAIRO / DUBAIThe Diaries of a Hip Mom!✨@satisfashioncollectionInstagram Handle  @satisfashionbysnInstagram Followers  347.3K Get Email Contact
74,@ramysoli,0.21,1.47,6.32,1800,2.33,346500,100.0,Bio 🍔A full-time foodie with a goal to make you drool👨🏻‍🎨Trays📸Original Content📐Former Architect😋HumYaGamal✊🏻#Arabites✉️Collab:****@live.comInstagram Handle  @ramysoliInstagram Followers  313K Get Email Contact
75,@hebaahmedibrahem,0.02,0.11,0.49,646,8.32,325900,277.17,"Bio •Painter / Fine artist 🎨,Egypt•Founder of @pastelsoul1•Video creatorInstagram Handle  @hebaahmedibrahemInstagram Followers  319.3K Get Email Contact"
76,@ramadan.hosnii,0.02,0.12,0.53,84,2.42,287800,100.0,Bio Chairman @emtelakeg 🏡Chairman @rhmediaproductionsInstagram Handle  @ramadan.hosniiInstagram Followers  299.4K Get Email Contact
77,@hessinelkadyy,0.01,0.05,0.2,131,5.29,263000,176.29,Bio Syrian living in Egypt🇸🇾  Video blogger | influencer | MenstylesInstagram Handle  @hessinelkadyyInstagram Followers  266.6K Get Email Contact
78,@amgadfaried,0.04,0.28,1.2,531,0.07,188700,4.68,Bio Owner @amgadfariedphotographyاتعلم تصوير هنا 👇@personphotographereye #انسان_بعين_مصور ****@gmail.com📸🦷👨‍💻🦞♦️🎻🎬☕️🍮🥝🍌🥕🍕🍤🍔𓄈𓎼𓎙Instagram Handle  @amgadfariedInstagram Followers  191.5K Get Email Contact
79,@hasawy_officiall,0.02,0.16,0.68,231,333.73,170000,11124.17,Bio hasawy🇪🇬🎱🔥 for business inquiries ****@gmail.comInstagram Handle  @hasawy_officiallInstagram Followers  158K Get Email Contact
80,@yasmineghaith,0.14,0.97,4.14,169,0.54,154600,35.74,Bio Survivor.Instagram Handle  @yasmineghaithInstagram Followers  156.1K Get Email Contact
81,@aliamrfarag,0.06,0.43,1.85,404,3.81,91300,127.05,Bio 4x Squash World ChampionWorld #1UNICEF AmbassadorEgypt | Harvard | Dunlop | Wadi Degla | CIB | Etisalat | Open Squash | Sodic | Live Physio ClinicInstagram Handle  @aliamrfaragInstagram Followers  90.2K Get Email Contact
82,@karimsobhyofficial,0.05,0.33,1.41,609,0.66,66000,44.06,Bio Actor/ tv presenter/ entrepreneurInstagram Handle  @karimsobhyofficialInstagram Followers  66.1K Get Email Contact
83,@norshekfawzy,0.39,2.71,11.61,2800,0.56,48200,37.65,"Bio AKA 🍪 🤍 🌎 , ☀️ & 🌊@norshekInstagram Handle  @norshekfawzyInstagram Followers  48.6K Get Email Contact"
84,@mahmoud_j_slama,0.02,0.12,0.52,422,0.29,46600,19.33,Bio 🔺 Owner of : @hulkk_gym  🏢🌐 𝑶𝒏𝒍𝒊𝒏𝒆 𝑻𝒓𝒂𝒊𝒏𝒆𝒓 🏋️‍♀️📍 🇩🇿_🇪🇬🏡(وَجَعَلَنِي مُبَارَكًا أَيْنَ مَا كُنتُ)ولسوف ﮼يعيطك ﮼ربك ﮼فترضى♥️Instagram Handle  @mahmoud_j_slamaInstagram Followers  47.3K Get Email Contact
85,@essa_a_alessa,0.01,0.08,0.36,2200,1.25,46400,83.22,Instagram Handle  @essa_a_alessaInstagram Followers  46.9K Get Email Contact
86,@mohamedbaba.official,0.13,0.93,4.0,2600,0.2,46000,13.05,Bio The Official Account Of The Singer Mohamed Babaللاستفسار 01116166511Instagram Handle  @mohamedbaba.officialInstagram Followers  48.8K Get Email Contact
87,@entesarrefat,0.01,0.04,0.17,495,3.82,46000,127.28,"Bio Fashion Blogger👚|Fashion&Beauty,Egypt.👗| Hijab fashion addict,life style .👉| For inquires send DM.💌| entesarrefat@gmail#entygamila تابعي هاشتاجInstagram Handle  @entesarrefatInstagram Followers  46.5K Get Email Contact"
88,@ameer_farag,0.36,2.55,10.91,1100,0.02,44400,1.29,Instagram Handle  @ameer_faragInstagram Followers  45.7K Get Email Contact
89,@ahmedmario.mov,0.2,1.42,6.1,63,0.88,43200,58.43,Bio Egyptian filmmaker and dop 🎬Portrait photographer 📸@nazzstudio.eg postproduction 🕹️✂️Instagram Handle  @ahmedmario.movInstagram Followers  43.5K Get Email Contact
90,@dalyadarwish,0.02,0.13,0.56,879,2.8,13800,56.02,"Bio Fittest woman in Egypt 2015, 2016,2018 & 2020National Champion 🇪🇬 @stark.fitness @asn.egypt get 10% off ASNXDALYA  👇🏽Instagram Handle  @dalyadarwishInstagram Followers  14.1K Get Email Contact"
91,@helmyelsaeed,0.01,0.04,0.16,529,2.63,11500,52.51,Bio Guinness World Record HolderHuman powered cross continental crossings for charity Environment | Biodiversity | ClimateInstagram Handle  @helmyelsaeedInstagram Followers  11.6K Get Email Contact
92,@mikooog,0.01,0.04,0.17,898,1.62,2300,23.14,Bio Architect | Beard Model | Marketing Consultant | Brand Ambassador ❤️🔒Founder @ingenious.dsBrand Ambassador @popl CAI-DXB-TXLInstagram Handle  @mikooogInstagram Followers  2.3K Get Email Contact
93,@eslamegyptian,0.03,0.23,1.0,359,0.78,782,11.11,"Bio Dreamer 💭 Passionate about books, movies, music, football 🥰 Master's Degree in Marketing & Sales @romebusinessschool 🎓 News Editor @thndrapp⚡️🇪🇬🇸🇦Instagram Handle  @eslamegyptianInstagram Followers  792 Get Email Contact"
